xPos,corrAns,yPos,corrGoResp,yPosGoStim,xPosGoStim,pracTrials.thisRepN,pracTrials.thisTrialN,pracTrials.thisN,pracTrials.thisIndex,ReDoLoopPrac.thisRepN,ReDoLoopPrac.thisTrialN,ReDoLoopPrac.thisN,ReDoLoopPrac.thisIndex,ReDoLoopPrac.thisTrial,pracStopTrials.thisRepN,pracStopTrials.thisTrialN,pracStopTrials.thisN,pracStopTrials.thisIndex,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ReDoLoopMain.thisRepN,ReDoLoopMain.thisTrialN,ReDoLoopMain.thisN,ReDoLoopMain.thisIndex,ReDoLoopMain.thisTrial,StopBlocks.thisRepN,StopBlocks.thisTrialN,StopBlocks.thisN,StopBlocks.thisIndex,StopTrials.thisRepN,StopTrials.thisTrialN,StopTrials.thisN,StopTrials.thisIndex,auctionBlocks.thisRepN,auctionBlocks.thisTrialN,auctionBlocks.thisN,auctionBlocks.thisIndex,auctionBlocks.thisTrial,auctionTrials.thisRepN,auctionTrials.thisTrialN,auctionTrials.thisN,auctionTrials.thisIndex,auctionTrials.thisTrial,ok1.keys,ok1.rt,resp.keys,resp.corr,resp.rt,learningStimOnset,learningFixOnset,beginningSSD,trialType,goStim,goResp.keys,goResp.corr,goResp.rt,goTrailCountOutput,goCumRTOutput,goRTCountOutput,stopTrialCountOutput,stopSuccessCountOutput,omissionCountOutput,commissionCountOutput,fixStopOnset,goStimOnset,stopSignalOnset,key_resp_3.keys,key_resp_3.rt,computedRewardOutput,EndingSSD,key_resp_4.keys,key_resp_4.rt,expName,gender (m/f),age,frameRate,session,date,participant,
200,s,-200,,,,,,,,,,,,,,,,,0,0,0,0,3,1,13,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9366095543,1,2015_May_26_1118,1,
-200,q,200,,,,,,,,,,,,,,,,,0,0,0,0,3,2,14,1,0,0,0,0,None,,,,,,,,,,,,,,,,,,,,,q,1,0.333898067474,0.514737129211,0.000899076461792,,,,,,,,,,,,,,,,,,,4.17,,,,LearningTask,,,59.9366095543,1,2015_May_26_1118,1,
-200,q,200,,,,,,,,,,,,,,,,,0,0,0,0,3,2,14,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9366095543,1,2015_May_26_1118,1,
200,w,200,,,,,,,,,,,,,,,,,0,0,0,0,3,3,15,0,0,0,0,0,None,,,,,,,,,,,,,,,,,,,,,w,1,0.417520046234,0.506561040878,0.000936985015869,,,,,,,,,,,,,,,,,,,0.41,,,,LearningTask,,,59.9366095543,1,2015_May_26_1118,1,
200,w,200,,,,,,,,,,,,,,,,,0,0,0,0,3,3,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9366095543,1,2015_May_26_1118,1,
-200,q,200,,,,,,,,,,,,,,,,,0,0,0,0,4,0,16,1,0,0,0,0,None,,,,,,,,,,,,,,,,,,,,,q,1,0.351357936859,0.512197971344,0.000888109207153,,,,,,,,,,,,,,,,,,,0.53,,,,LearningTask,,,59.9366095543,1,2015_May_26_1118,1,
-200,q,200,,,,,,,,,,,,,,,,,0,0,0,0,4,0,16,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9366095543,1,2015_May_26_1118,1,
200,w,200,,,,,,,,,,,,,,,,,0,0,0,0,4,1,17,0,0,0,0,0,None,,,,,,,,,,,,,,,,,,,,,w,1,0.417752981186,0.508727073669,0.000899076461792,,,,,,,,,,,,,,,,,,,0.31,,,,LearningTask,,,59.9366095543,1,2015_May_26_1118,1,
200,w,200,,,,,,,,,,,,,,,,,0,0,0,0,4,1,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9366095543,1,2015_May_26_1118,1,
-200,q,200,,,,,,,,,,,,,,,,,0,0,0,0,4,2,18,1,0,0,0,0,None,,,,,,,,,,,,,,,,,,,,,q,1,0.350587844849,0.501057863235,0.000897884368896,,,,,,,,,,,,,,,,,,,2.15,,,,LearningTask,,,59.9366095543,1,2015_May_26_1118,1,
