xPos,corrAns,yPos,corrGoResp,yPosGoStim,xPosGoStim,pracTrials.thisRepN,pracTrials.thisTrialN,pracTrials.thisN,pracTrials.thisIndex,ReDoLoopPrac.thisRepN,ReDoLoopPrac.thisTrialN,ReDoLoopPrac.thisN,ReDoLoopPrac.thisIndex,ReDoLoopPrac.thisTrial,pracStopTrials.thisRepN,pracStopTrials.thisTrialN,pracStopTrials.thisN,pracStopTrials.thisIndex,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ReDoLoopMain.thisRepN,ReDoLoopMain.thisTrialN,ReDoLoopMain.thisN,ReDoLoopMain.thisIndex,ReDoLoopMain.thisTrial,StopBlocks.thisRepN,StopBlocks.thisTrialN,StopBlocks.thisN,StopBlocks.thisIndex,StopBlocks.thisTrial,StopTrials.thisRepN,StopTrials.thisTrialN,StopTrials.thisN,StopTrials.thisIndex,ok1.keys,ok1.rt,StartTrialTimeStamp,resp.keys,resp.corr,resp.rt,learningStimOnset,learningFixOnset,EndTrialTimeStamp,beginningSSD,trialType,goStim,goResp.keys,goResp.corr,goTrailCountOutput,goCumRTOutput,goRTCountOutput,stopTrialCountOutput,stopSuccessCountOutput,omissionCountOutput,commissionCountOutput,fixStopOnset,goStimOnset,stopSignalOnset,goResp.rt,key_resp_3.keys,key_resp_3.rt,computedRewardOutput,key_resp_7.keys,key_resp_7.rt,EndingSSD,expName,gender (m/f),age,frameRate,session,date,participant,
-200,a,-200,,,,,,,,,,,,,,,,,0,0,0,0,1,0,4,3,2,0,2,0,None,,,,,,,,,,,,147.873522997,None,0,,0.515058040619,0.00155711174011,150.873275042,,,,,,,,,,,,,,,,,,,1.07,,,,LearningTask,,,59.988729687,3,2015_May_27_1654,6,
-200,a,-200,,,,,,,,,,,,,,,,,0,0,0,0,1,0,4,3,3,0,3,0,None,,,,,,,,,,,,150.874260187,None,0,,0.514987945557,0.00152993202209,153.873382092,,,,,,,,,,,,,,,,,,,0.98,,,,LearningTask,,,59.988729687,3,2015_May_27_1654,6,
-200,a,-200,,,,,,,,,,,,,,,,,0,0,0,0,1,0,4,3,4,0,4,0,None,,,,,,,,,,,,153.874373198,None,0,,0.515208005905,0.00175786018372,156.873982191,,,,,,,,,,,,,,,,,,,0.85,,,,LearningTask,,,59.988729687,3,2015_May_27_1654,6,
-200,a,-200,,,,,,,,,,,,,,,,,0,0,0,0,1,0,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.988729687,3,2015_May_27_1654,6,
-200,a,-200,,,,,,,,,,,,,,,,,0,0,0,0,1,1,5,3,0,0,0,0,None,,,,,,,,,,,,157.078901052,None,0,,0.511003017426,0.00100016593933,160.074159145,,,,,,,,,,,,,,,,,,,1.22,,,,LearningTask,,,59.988729687,3,2015_May_27_1654,6,
-200,a,-200,,,,,,,,,,,,,,,,,0,0,0,0,1,1,5,3,1,0,1,0,None,,,,,,,,,,,,160.075154066,None,0,,0.515065193176,0.0015881061554,163.074681044,,,,,,,,,,,,,,,,,,,0.77,,,,LearningTask,,,59.988729687,3,2015_May_27_1654,6,
-200,a,-200,,,,,,,,,,,,,,,,,0,0,0,0,1,1,5,3,2,0,2,0,None,,,,,,,,,,,,163.075708151,None,0,,0.515053033829,0.00130701065063,166.074903011,,,,,,,,,,,,,,,,,,,1.02,,,,LearningTask,,,59.988729687,3,2015_May_27_1654,6,
-200,a,-200,,,,,,,,,,,,,,,,,0,0,0,0,1,1,5,3,3,0,3,0,None,,,,,,,,,,,,166.075921059,None,0,,0.515345096588,0.00194811820984,169.075498104,,,,,,,,,,,,,,,,,,,1.15,,,,LearningTask,,,59.988729687,3,2015_May_27_1654,6,
-200,a,-200,,,,,,,,,,,,,,,,,0,0,0,0,1,1,5,3,4,0,4,0,None,,,,,,,,,,,,169.076195002,None,0,,0.515460014343,0.00138401985168,172.076215982,,,,,,,,,,,,,,,,,,,0.99,,,,LearningTask,,,59.988729687,3,2015_May_27_1654,6,
-200,a,-200,,,,,,,,,,,,,,,,,0,0,0,0,1,1,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.988729687,3,2015_May_27_1654,6,
200,w,200,,,,,,,,,,,,,,,,,0,0,0,0,1,2,6,0,0,0,0,0,None,,,,,,,,,,,,172.322728157,None,0,,0.503046035767,0.000985145568848,175.326361179,,,,,,,,,,,,,,,,,,,4.12,,,,LearningTask,,,59.988729687,3,2015_May_27_1654,6,
200,w,200,,,,,,,,,,,,,,,,,0,0,0,0,1,2,6,0,1,0,1,0,None,,,,,,,,,,,,175.327170134,None,0,,0.515528202057,0.00124621391296,178.32684803,,,,,,,,,,,,,,,,,,,3.76,,,,LearningTask,,,59.988729687,3,2015_May_27_1654,6,
