xPos,corrAns,yPos,pracTrials.thisRepN,pracTrials.thisTrialN,pracTrials.thisN,pracTrials.thisIndex,pracStopTrials.thisRepN,pracStopTrials.thisTrialN,pracStopTrials.thisN,pracStopTrials.thisIndex,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ok1.keys,ok1.rt,key_resp_3.keys,key_resp_3.rt,NewStimTimeStamp,EndNewStimTimeStamp,StartTrialTimeStamp,resp.keys,resp.corr,resp.rt,key_resp_8.keys,computedRewardOutput,learningStimOnset,learningFixOnset,EndTrialTimeStamp,key_resp_7.keys,key_resp_7.rt,expName,gender (m/f),age,frameRate,session,date,participant,
200,s,-200,,,,,,,,,0,0,0,0,19,1,77,2,,,,,252.544732094,252.545043945,252.54548502,None,0,,None,0.34,0.514549970627,0.00127911567688,255.546138048,,,LearningTask,,,59.9322417521,3,2015_Jun_02_1026,17,
-200,q,200,,,,,,,,,0,0,0,0,19,2,78,1,,,,,255.547184944,255.547395945,255.547667027,None,0,,None,0.52,0.514793872833,0.00149703025818,258.548496008,,,LearningTask,,,59.9322417521,3,2015_Jun_02_1026,17,
-200,a,-200,,,,,,,,,0,0,0,0,19,3,79,3,,,,,258.549392939,258.549602985,258.549875021,None,0,,None,0.77,0.515053987503,0.00169205665588,261.550776958,,,LearningTask,,,59.9322417521,3,2015_Jun_02_1026,17,
-200,a,-200,,,,,,,,,0,0,0,0,20,0,80,3,,,,,261.551973104,261.552279949,261.552653074,None,0,,None,4.11,0.514588117599,0.0012149810791,264.553151131,,,LearningTask,,,59.9322417521,3,2015_Jun_02_1026,17,
200,w,200,,,,,,,,,0,0,0,0,20,1,81,0,,,,,264.553982019,264.554192066,264.554461956,None,0,,None,0.57,0.515293121338,0.00127696990967,267.55520916,,,LearningTask,,,59.9322417521,3,2015_Jun_02_1026,17,
200,w,200,,,,,,,,,0,0,0,0,20,2,82,0,,,,,267.556046963,267.556302071,267.556699038,None,0,,None,1.86,0.5148229599,0.00154709815979,270.557846069,,,LearningTask,,,59.9322417521,3,2015_Jun_02_1026,17,
200,s,-200,,,,,,,,,0,0,0,0,20,3,83,2,,,,,270.558683157,270.558895111,270.5591681,None,0,,None,0.97,0.515240907669,0.00123691558838,273.560304165,,,LearningTask,,,59.9322417521,3,2015_Jun_02_1026,17,
200,w,200,,,,,,,,,0,0,0,0,21,0,84,0,,,,,273.561179161,273.561390162,273.561665058,None,0,,None,0.86,0.515027046204,0.00125503540039,276.562839985,,,LearningTask,,,59.9322417521,3,2015_Jun_02_1026,17,
200,w,200,,,,,,,,,0,0,0,0,21,1,85,0,,,,,276.563683987,276.563895941,276.564316988,None,0,,None,0.56,0.514736890793,0.00127696990967,279.565114975,,,LearningTask,,,59.9322417521,3,2015_Jun_02_1026,17,
200,s,-200,,,,,,,,,0,0,0,0,21,2,86,2,,,,,279.565984011,279.566195011,279.566534996,None,0,,None,1.02,0.515074968338,0.00131702423096,282.567533016,,,LearningTask,,,59.9322417521,3,2015_Jun_02_1026,17,
-200,a,-200,,,,,,,,,0,0,0,0,21,3,87,3,,,,,282.568747044,282.569057941,282.569460154,None,0,,None,3.91,0.51439499855,0.0014750957489,285.569766998,,,LearningTask,,,59.9322417521,3,2015_Jun_02_1026,17,
200,w,200,,,,,,,,,0,0,0,0,22,0,88,0,,,,,285.570605993,285.570816994,285.571092129,None,0,,None,0.93,0.51523399353,0.0012059211731,288.572417021,,,LearningTask,,,59.9322417521,3,2015_Jun_02_1026,17,
-200,a,-200,,,,,,,,,0,0,0,0,22,1,89,3,,,,,288.573321104,288.573581934,288.57400012,None,0,,None,0.72,0.51461482048,0.00189995765686,291.574552059,,,LearningTask,,,59.9322417521,3,2015_Jun_02_1026,17,
-200,a,-200,,,,,,,,,0,0,0,0,22,2,90,3,,,,,291.575466156,291.575679064,291.576025009,None,0,,None,4.16,0.514704942703,0.00134301185608,294.57697916,,,LearningTask,,,59.9322417521,3,2015_Jun_02_1026,17,
-200,q,200,,,,,,,,,0,0,0,0,22,3,91,1,,,,,294.577914,294.578227043,294.578629017,None,0,,None,0.76,0.514723062515,0.00134992599487,297.57941103,,,LearningTask,,,59.9322417521,3,2015_Jun_02_1026,17,
200,s,-200,,,,,,,,,0,0,0,0,23,0,92,2,,,,,297.58023715,297.580476999,297.580747128,None,0,,None,4.03,0.515224933624,0.00124406814575,300.581753016,,,LearningTask,,,59.9322417521,3,2015_Jun_02_1026,17,
-200,q,200,,,,,,,,,0,0,0,0,23,1,93,1,,,,,300.58258605,300.582792044,300.583200932,None,0,,None,0.59,0.514914035797,0.00171899795532,303.584157944,,,LearningTask,,,59.9322417521,3,2015_Jun_02_1026,17,
-200,q,200,,,,,,,,,0,0,0,0,23,2,94,1,,,,,303.584991932,303.585200071,303.585472107,None,0,,None,0.53,0.515208959579,0.00123596191406,306.586480141,,,LearningTask,,,59.9322417521,3,2015_Jun_02_1026,17,
200,w,200,,,,,,,,,0,0,0,0,23,3,95,0,,,,,306.587316036,306.58752799,306.587908983,None,0,,None,2.09,0.515064954758,0.00146389007568,309.588932991,,,LearningTask,,,59.9322417521,3,2015_Jun_02_1026,17,
-200,q,200,,,,,,,,,0,0,0,0,24,0,96,1,,,,,309.589771986,309.590080023,309.59047699,None,0,,None,0.9,0.514932155609,0.00118112564087,312.591503143,,,LearningTask,,,59.9322417521,3,2015_Jun_02_1026,17,
200,s,-200,,,,,,,,,0,0,0,0,24,1,97,2,,,,,312.59236908,312.59258008,312.592863083,None,0,,None,1.77,0.514976978302,0.00126194953918,315.593969107,,,LearningTask,,,59.9322417521,3,2015_Jun_02_1026,17,
200,s,-200,,,,,,,,,0,0,0,0,24,2,98,2,,,,,315.594979048,315.595227957,315.595541954,None,0,,None,4.13,0.514607906342,0.00139403343201,318.595868111,,,LearningTask,,,59.9322417521,3,2015_Jun_02_1026,17,
-200,a,-200,,,,,,,,,0,0,0,0,24,3,99,3,,,,,318.596735001,318.597038031,318.597450972,None,0,,None,0.67,0.51486992836,0.00160789489746,321.598706961,,,LearningTask,,,59.9322417521,3,2015_Jun_02_1026,17,
,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,escape,1105.47898293,LearningTask,,,59.9322417521,3,2015_Jun_02_1026,17,
