StopOrGo,Amount,Shape,Color,StopOrGoAndAmountLoop.thisRepN,StopOrGoAndAmountLoop.thisTrialN,StopOrGoAndAmountLoop.thisN,StopOrGoAndAmountLoop.thisIndex,ShapeLoop.thisRepN,ShapeLoop.thisTrialN,ShapeLoop.thisN,ShapeLoop.thisIndex,ColorLoop.thisRepN,ColorLoop.thisTrialN,ColorLoop.thisN,ColorLoop.thisIndex,expName,gender (m/f),age,frameRate,session,date,participant,
Go,2,circle,gray,0,0,0,5,0,1,1,7,4,5,37,5,LearningTask,,,60.0839452551,3,2015_Mar_03_1245,,
Go,2,circle,orange,0,0,0,5,0,1,1,7,4,6,38,2,LearningTask,,,60.0839452551,3,2015_Mar_03_1245,,
Go,2,circle,yellow,0,0,0,5,0,1,1,7,4,7,39,0,LearningTask,,,60.0839452551,3,2015_Mar_03_1245,,
Go,2,circle,cyan,0,0,0,5,0,1,1,7,5,0,40,6,LearningTask,,,60.0839452551,3,2015_Mar_03_1245,,
Go,2,circle,orange,0,0,0,5,0,1,1,7,5,1,41,2,LearningTask,,,60.0839452551,3,2015_Mar_03_1245,,
Go,2,circle,blue,0,0,0,5,0,1,1,7,5,2,42,7,LearningTask,,,60.0839452551,3,2015_Mar_03_1245,,
Go,2,circle,white,0,0,0,5,0,1,1,7,5,3,43,1,LearningTask,,,60.0839452551,3,2015_Mar_03_1245,,
Go,2,circle,gray,0,0,0,5,0,1,1,7,5,4,44,5,LearningTask,,,60.0839452551,3,2015_Mar_03_1245,,
Go,2,circle,magenta,0,0,0,5,0,1,1,7,5,5,45,3,LearningTask,,,60.0839452551,3,2015_Mar_03_1245,,
Go,2,circle,green,0,0,0,5,0,1,1,7,5,6,46,4,LearningTask,,,60.0839452551,3,2015_Mar_03_1245,,
Go,2,circle,yellow,0,0,0,5,0,1,1,7,5,7,47,0,LearningTask,,,60.0839452551,3,2015_Mar_03_1245,,
Go,2,circle,cyan,0,0,0,5,0,1,1,7,6,0,48,6,LearningTask,,,60.0839452551,3,2015_Mar_03_1245,,
Go,2,circle,yellow,0,0,0,5,0,1,1,7,6,1,49,0,LearningTask,,,60.0839452551,3,2015_Mar_03_1245,,
Go,2,circle,gray,0,0,0,5,0,1,1,7,6,2,50,5,LearningTask,,,60.0839452551,3,2015_Mar_03_1245,,
Go,2,circle,magenta,0,0,0,5,0,1,1,7,6,3,51,3,LearningTask,,,60.0839452551,3,2015_Mar_03_1245,,
Go,2,circle,orange,0,0,0,5,0,1,1,7,6,4,52,2,LearningTask,,,60.0839452551,3,2015_Mar_03_1245,,
Go,2,circle,blue,0,0,0,5,0,1,1,7,6,5,53,7,LearningTask,,,60.0839452551,3,2015_Mar_03_1245,,
Go,2,circle,green,0,0,0,5,0,1,1,7,6,6,54,4,LearningTask,,,60.0839452551,3,2015_Mar_03_1245,,
Go,2,circle,white,0,0,0,5,0,1,1,7,6,7,55,1,LearningTask,,,60.0839452551,3,2015_Mar_03_1245,,
Go,2,circle,green,0,0,0,5,0,1,1,7,7,0,56,4,LearningTask,,,60.0839452551,3,2015_Mar_03_1245,,
Go,2,circle,magenta,0,0,0,5,0,1,1,7,7,1,57,3,LearningTask,,,60.0839452551,3,2015_Mar_03_1245,,
