xPos,corrAns,yPos,corrGoResp,yPosGoStim,xPosGoStim,pracTrials.thisRepN,pracTrials.thisTrialN,pracTrials.thisN,pracTrials.thisIndex,ReDoLoopPrac.thisRepN,ReDoLoopPrac.thisTrialN,ReDoLoopPrac.thisN,ReDoLoopPrac.thisIndex,ReDoLoopPrac.thisTrial,pracStopTrials.thisRepN,pracStopTrials.thisTrialN,pracStopTrials.thisN,pracStopTrials.thisIndex,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,Blocks.thisTrial,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ReDoLoopMain.thisRepN,ReDoLoopMain.thisTrialN,ReDoLoopMain.thisN,ReDoLoopMain.thisIndex,ReDoLoopMain.thisTrial,ok1.keys,ok1.rt,resp.keys,resp.corr,resp.rt,learningStimOnset,learningFixOnset,EndTrialTimeStamp,,beginningSSD,trialType,goStim,goResp.keys,goResp.corr,goResp.rt,goTrailCountOutput,goCumRTOutput,goRTCountOutput,stopTrialCountOutput,stopSuccessCountOutput,omissionCountOutput,commissionCountOutput,fixStopOnset,goStimOnset,stopSignalOnset,key_resp_3.keys,key_resp_3.rt,computedRewardOutput,expName,gender (m/f),age,frameRate,session,date,participant
200,w,200,,,,,,,,,,,,,,,,,0,0,0,0,None,0,3,3,0,2,0,2,0,None,,,a,0,0.250640869,0.51635313,0.000964165,109.2564161,2.268471956,,,,,,,,,,,,,,,,,,,0.75,LearningTask,,,59.97251816,3,2015_May_27_1545,4
200,w,200,,,,,,,,,,,,,,,,,0,0,0,0,None,0,3,3,0,3,0,3,0,None,,,q,0,0.117399216,0.516381979,0.000987053,111.3913012,2.134885073,,,,,,,,,,,,,,,,,,,1.23,LearningTask,,,59.97251816,3,2015_May_27_1545,4
200,w,200,,,,,,,,,,,,,,,,,0,0,0,0,None,0,3,3,0,4,0,4,0,None,,,s,0,0.334372044,0.516299009,0.001122952,113.7432251,2.351923943,,,,,,,,,,,,,,,,,,,0.98,LearningTask,,,59.97251816,3,2015_May_27_1545,4
200,w,200,,,,,,,,,,,,,,,,,0,0,0,0,None,0,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.97251816,3,2015_May_27_1545,4
-200,q,200,,,,,,,,,,,,,,,,,0,0,0,0,None,1,0,4,1,0,0,0,0,None,,,q,1,0.517652988,0.500617981,0.00109601,116.461962,2.718736887,,,,,,,,,,,,,,,,,,,4.08,LearningTask,,,59.97251816,3,2015_May_27_1545,4
-200,q,200,,,,,,,,,,,,,,,,,0,0,0,0,None,1,0,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.97251816,3,2015_May_27_1545,4
200,w,200,,,,,,,,,,,,,,,,,0,0,0,0,None,1,1,5,0,0,0,0,0,None,,,None,0,,0.510085821,0.001052856,119.69786,3.235898018,,,,,,,,,,,,,,,,,,,3.95,LearningTask,,,59.97251816,3,2015_May_27_1545,4
200,w,200,,,,,,,,,,,,,,,,,0,0,0,0,None,1,1,5,0,1,0,1,0,None,,,w,1,0.150700092,0.516243935,0.00105691,121.8664711,2.168611049,,,,,,,,,,,,,,,,,,,4.02,LearningTask,,,59.97251816,3,2015_May_27_1545,4
200,w,200,,,,,,,,,,,,,,,,,0,0,0,0,None,1,1,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.97251816,3,2015_May_27_1545,4
-200,q,200,,,,,,,,,,,,,,,,,0,0,0,0,None,1,2,6,1,0,0,0,0,None,,,q,1,0.400846004,0.514564037,0.000974178,124.5017872,2.635316134,,,,,,,,,,,,,,,,,,,0.67,LearningTask,,,59.97251816,3,2015_May_27_1545,4
-200,q,200,,,,,,,,,,,,,,,,,0,0,0,0,None,1,2,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.97251816,3,2015_May_27_1545,4
200,w,200,,,,,,,,,,,,,,,,,0,0,0,0,None,1,3,7,0,0,0,0,0,None,,,w,1,0.367429972,0.514947176,0.000892162,127.1209931,2.619205951,,,,,,,,,,,,,,,,,,,0.81,LearningTask,,,59.97251816,3,2015_May_27_1545,4
200,w,200,,,,,,,,,,,,,,,,,0,0,0,0,None,1,3,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.97251816,3,2015_May_27_1545,4
-200,a,-200,,,,,,,,,,,,,,,,,0,0,0,0,None,2,0,8,3,0,0,0,0,None,,,a,1,0.367680073,0.503752947,0.000965834,129.7229512,2.601958037,,,,,,,,,,,,,,,,,,,0.67,LearningTask,,,59.97251816,3,2015_May_27_1545,4
-200,a,-200,,,,,,,,,,,,,,,,,0,0,0,0,None,2,0,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.97251816,3,2015_May_27_1545,4
